fruit_name,energy,vitamin_c,fiber,potassium,folate,carotenoids
苹果,0.32,0.12,0.55,0.38,0.18,0.16
香蕉,0.58,0.22,0.48,0.82,0.35,0.18
橙子,0.30,0.88,0.45,0.42,0.58,0.30
橘子,0.31,0.82,0.40,0.38,0.50,0.42
葡萄,0.48,0.18,0.30,0.46,0.20,0.24
猕猴桃,0.36,0.92,0.62,0.58,0.48,0.36
草莓,0.20,0.86,0.52,0.36,0.52,0.22
蓝莓,0.37,0.30,0.58,0.28,0.20,0.48
西瓜,0.18,0.28,0.16,0.30,0.22,0.56
哈密瓜,0.22,0.56,0.24,0.62,0.30,0.72
桃,0.25,0.26,0.38,0.40,0.22,0.34
梨,0.35,0.14,0.60,0.30,0.16,0.12
芒果,0.42,0.72,0.45,0.44,0.62,0.90
菠萝,0.33,0.76,0.40,0.32,0.30,0.22
火龙果,0.34,0.20,0.72,0.50,0.34,0.20
荔枝,0.45,0.68,0.32,0.38,0.36,0.14
龙眼,0.43,0.58,0.28,0.45,0.32,0.12
樱桃,0.40,0.30,0.42,0.48,0.26,0.52
石榴,0.46,0.34,0.68,0.52,0.38,0.44
柚子,0.25,0.84,0.36,0.50,0.40,0.28
木瓜,0.28,0.80,0.50,0.55,0.70,0.94
榴莲,0.95,0.36,0.70,0.88,0.44,0.32
柠檬,0.16,0.96,0.35,0.25,0.24,0.18
牛油果,0.90,0.20,0.92,0.94,0.76,0.58
