fruit_name,region,start_month,end_month,season_score
苹果,全国,8,11,0.90
苹果,华东,8,12,0.95
香蕉,全国,1,12,0.75
香蕉,华南,1,12,0.92
橙子,全国,11,4,0.88
橙子,华南,10,4,0.95
柑橘,全国,11,3,0.90
柑橘,华东,10,3,0.94
葡萄,全国,7,10,0.90
葡萄,华北,7,10,0.94
猕猴桃,全国,9,12,0.88
猕猴桃,西南,8,12,0.94
草莓,全国,12,4,0.88
草莓,华东,12,5,0.94
蓝莓,全国,5,8,0.84
蓝莓,华东,5,8,0.90
西瓜,全国,5,9,0.92
西瓜,华东,5,9,0.95
哈密瓜,全国,6,9,0.90
哈密瓜,华北,6,10,0.94
桃,全国,6,9,0.90
桃,华东,6,9,0.94
梨,全国,8,11,0.90
梨,华北,8,11,0.94
芒果,全国,5,8,0.86
芒果,华南,4,8,0.95
菠萝,全国,4,8,0.84
菠萝,华南,3,8,0.94
火龙果,全国,5,11,0.82
火龙果,华南,5,12,0.94
荔枝,全国,5,7,0.88
荔枝,华南,5,7,0.97
龙眼,全国,7,9,0.88
龙眼,华南,7,9,0.96
樱桃,全国,5,7,0.86
樱桃,华北,5,7,0.94
石榴,全国,8,11,0.88
石榴,西南,8,11,0.93
柚子,全国,9,2,0.88
柚子,华南,8,2,0.94
木瓜,全国,1,12,0.76
木瓜,华南,1,12,0.92
榴莲,全国,5,8,0.82
榴莲,华南,5,8,0.92
柠檬,全国,9,3,0.82
柠檬,华南,8,3,0.90
牛油果,全国,8,12,0.80
牛油果,华南,7,12,0.88
